time_start,time_end,model,launch_place,target,launched,destroyed,source,category,national_origin,type,manufacturer,destroyed_ratio,year,month,day,day_of_week,latitude,longitude
2023-06-23,2023-06-23,Reconnaissance UAV,,Ukraine,1.0,1,kpszsu/posts/pfbid021CRSbt476ysc8Pjw5n8c4B77wzWqBxsUWHyhzDrgUQSna2ah6LDby5NJcrh7ZfUkl,UAV,,reconnaissance,,100.0,2023,6,23,Friday,,
2023-06-22,2023-06-22 08:00,X-47 Kinzhal,,Dnipropetrovsk oblast,3.0,0,kpszsu/posts/pfbid02c2NXXBzWPSBPCD9139oMqSuBSG717LmV6n2iMWgoJHKhLo2t4GcqUovUp7VCdLE2l,cruise missile,russia,air-launched ballistic,,0.0,2023,6,22,Thursday,,
2023-06-22,2023-06-22 08:00,X-22,Sea of Azov,Dnipropetrovsk oblast,3.0,0,kpszsu/posts/pfbid02c2NXXBzWPSBPCD9139oMqSuBSG717LmV6n2iMWgoJHKhLo2t4GcqUovUp7VCdLE2l,cruise missile,russia,air-to-surface,,0.0,2023,6,22,Thursday,46.196729,36.73570655151333
2023-06-22,2023-06-22 08:00,Shahed-136/131,,Ukraine,4.0,3,kpszsu/posts/pfbid02c2NXXBzWPSBPCD9139oMqSuBSG717LmV6n2iMWgoJHKhLo2t4GcqUovUp7VCdLE2l,UAV,iran,loitering munition,Shahed Aviation Industries,75.0,2023,6,22,Thursday,,
2023-06-20,2023-06-20 08:00,Shahed-136/131,Bryansk,Ukraine,35.0,32,kpszsu/posts/pfbid02NHTzdZL9uvUfJnsmcEhcdnWVZ9xYQaWeMDX87s7pJ84bJNfqZ9nYV7Dxzf6czNYMl,UAV,iran,loitering munition,Shahed Aviation Industries,91.43,2023,6,20,Tuesday,53.2423778,34.3668288
2023-06-20,2023-06-20 08:00,Shahed-136/131,,Khmelnytskyi oblast,6.0,6,kpszsu/posts/pfbid0NjTbD1rgJMjhD4NJySsxdd5UrLhngABhNS94szUGZWnred7APyukfyEw8s5nm4Kul,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,6,20,Tuesday,,
2023-06-20,2023-06-20 08:00,Reconnaissance UAV,,Ukraine,4.0,4,kpszsu/posts/pfbid0NjTbD1rgJMjhD4NJySsxdd5UrLhngABhNS94szUGZWnred7APyukfyEw8s5nm4Kul,UAV,,reconnaissance,,100.0,2023,6,20,Tuesday,,
2023-06-19,2023-06-19 08:00,Shahed-136/131,Sea of Azov,Ukraine,4.0,4,kpszsu/posts/pfbid02pG26RMu8mhRaPCMkGkHRevXi5BnPf73QnwgytoCrvtJzK72SduCEF5C9krTzt58pl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,6,19,Monday,46.196729,36.73570655151333
2023-06-19,2023-06-19 08:00,Kalibr,Black Sea,Ukraine,4.0,4,kpszsu/posts/pfbid02pG26RMu8mhRaPCMkGkHRevXi5BnPf73QnwgytoCrvtJzK72SduCEF5C9krTzt58pl,cruise missile,russia,,,100.0,2023,6,19,Monday,43.87282395,33.99380770501095
2023-06-17,2023-06-17,Shahed-136/131,,Ukraine,4.0,4,kpszsu/posts/pfbid0m5tVZmZNRHDen5gMmvfdBRxJKVjuZKgpH3zWFe3zao5wLi24KbchhzMm7njjW1RUl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,6,17,Saturday,,
2023-06-17,2023-06-17,Orlan-10 and Orlan-30 and ZALA and Supercam,,Ukraine,7.0,7,kpszsu/posts/pfbid0m5tVZmZNRHDen5gMmvfdBRxJKVjuZKgpH3zWFe3zao5wLi24KbchhzMm7njjW1RUl,UAV,russia,reconnaissance,,100.0,2023,6,17,Saturday,,
2023-06-17,2023-06-17,Lancet,,Ukraine,1.0,1,kpszsu/posts/pfbid0m5tVZmZNRHDen5gMmvfdBRxJKVjuZKgpH3zWFe3zao5wLi24KbchhzMm7njjW1RUl,UAV,russia,loitering munition,ZALA Aero Group,100.0,2023,6,17,Saturday,,
2023-06-16,2023-06-16 11:00,X-47 Kinzhal,,Kyiv oblast,6.0,6,kpszsu/posts/pfbid0KTRrn2DpYFgk8U9eyqnc58DpvD6SZoeGYsizALcXTCHCHpGXXJqhcZkGMQQXJps9l,cruise missile,russia,air-launched ballistic,,100.0,2023,6,16,Friday,,
2023-06-16,2023-06-16 11:00,Kalibr,,Kyiv oblast,6.0,6,kpszsu/posts/pfbid0KTRrn2DpYFgk8U9eyqnc58DpvD6SZoeGYsizALcXTCHCHpGXXJqhcZkGMQQXJps9l,cruise missile,russia,,,100.0,2023,6,16,Friday,,
2023-06-16,2023-06-16 08:00,Shahed-136/131,,Mykolaiv oblast,2.0,2,kpszsu/posts/pfbid034G6qAp59trPecbQtCVcJQnPaoJvoCxftQ47Qmgy25ZEk6NsK4GHQziUPG6Vz8VKHl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,6,16,Friday,,
2023-06-16,2023-06-16,Reconnaissance UAV,,Kyiv oblast,2.0,2,kpszsu/posts/pfbid0KTRrn2DpYFgk8U9eyqnc58DpvD6SZoeGYsizALcXTCHCHpGXXJqhcZkGMQQXJps9l,UAV,,reconnaissance,,100.0,2023,6,16,Friday,,
2023-06-15,2023-06-15 04:30,X-101/X-555,Caspian Sea,Dnipropetrovsk oblast,4.0,1,kpszsu/posts/pfbid02bG2bkZB15BfBzEGTz6HstJ88sPxussZaX7VsYwGg8iebMrXitcD4e2qmsxvuZqcCl,cruise missile,russia,air-launched,,25.0,2023,6,15,Thursday,41.7789772,50.560757905794325
2023-06-15,2023-06-15 04:30,Shahed-136/131,,Ukraine,20.0,20,kpszsu/posts/pfbid02bG2bkZB15BfBzEGTz6HstJ88sPxussZaX7VsYwGg8iebMrXitcD4e2qmsxvuZqcCl,UAV,iran,loitering munition,Shahed Aviation Industries,100.0,2023,6,15,Thursday,,
2023-06-15,2023-06-15,ZALA,,east,1.0,1,kpszsu/posts/pfbid034G6qAp59trPecbQtCVcJQnPaoJvoCxftQ47Qmgy25ZEk6NsK4GHQziUPG6Vz8VKHl,UAV,russia,reconnaissance,ZALA Aero Group,100.0,2023,6,15,Thursday,,
2023-06-15,2023-06-15,Reconnaissance UAV,,east,1.0,1,kpszsu/posts/pfbid034G6qAp59trPecbQtCVcJQnPaoJvoCxftQ47Qmgy25ZEk6NsK4GHQziUPG6Vz8VKHl,UAV,,reconnaissance,,100.0,2023,6,15,Thursday,,
2023-06-15,2023-06-15,Orlan-30,,east,1.0,1,kpszsu/posts/pfbid034G6qAp59trPecbQtCVcJQnPaoJvoCxftQ47Qmgy25ZEk6NsK4GHQziUPG6Vz8VKHl,UAV,russia,reconnaissance,Special Technology Center,100.0,2023,6,15,Thursday,,
2023-06-15,2023-06-15,Orlan-10,,east,2.0,2,kpszsu/posts/pfbid034G6qAp59trPecbQtCVcJQnPaoJvoCxftQ47Qmgy25ZEk6NsK4GHQziUPG6Vz8VKHl,UAV,russia,reconnaissance,Special Technology Center,100.0,2023,6,15,Thursday,,
2023-06-15,2023-06-15,Lancet,,east,1.0,1,kpszsu/posts/pfbid034G6qAp59trPecbQtCVcJQnPaoJvoCxftQ47Qmgy25ZEk6NsK4GHQziUPG6Vz8VKHl,UAV,russia,loitering munition,ZALA Aero Group,100.0,2023,6,15,Thursday,,
2023-06-14,2023-06-14 08:00,X-22,Rostov,Donetsk oblast,6.0,0,kpszsu/posts/pfbid02zYdUtwypDrU3Zr8AJqS5WVK11iufnyLfd8jMzf1mhQXkgrPrhfZsPAgMjkgL1Rvbl,cruise missile,russia,air-to-surface,,0.0,2023,6,14,Wednesday,47.6222451,40.7957942
2023-06-14,2023-06-14 08:00,Shahed-136/131,Sea of Azov,south-east,10.0,9,kpszsu/posts/pfbid02zYdUtwypDrU3Zr8AJqS5WVK11iufnyLfd8jMzf1mhQXkgrPrhfZsPAgMjkgL1Rvbl,UAV,iran,loitering munition,Shahed Aviation Industries,90.0,2023,6,14,Wednesday,46.196729,36.73570655151333
2023-06-14,2023-06-14 08:00,Kalibr,Black Sea,Odesa oblast,4.0,3,kpszsu/posts/pfbid02zYdUtwypDrU3Zr8AJqS5WVK11iufnyLfd8jMzf1mhQXkgrPrhfZsPAgMjkgL1Rvbl,cruise missile,russia,,,75.0,2023,6,14,Wednesday,43.87282395,33.99380770501095
2023-06-13,2023-06-13 08:00,X-101/X-555,Caspian Sea,Ukraine,14.0,10,kpszsu/posts/pfbid0DgotRp5GBCXAdd7LrjAN8z5ceZncvRfUUmM4f9jx8VtS6H439JYsqktHZTH7bu8rl,cruise missile,russia,air-launched,,71.43,2023,6,13,Tuesday,41.7789772,50.560757905794325
2023-06-13,2023-06-13 08:00,Shahed-136/131,,Ukraine,4.0,1,kpszsu/posts/pfbid0DgotRp5GBCXAdd7LrjAN8z5ceZncvRfUUmM4f9jx8VtS6H439JYsqktHZTH7bu8rl,UAV,iran,loitering munition,Shahed Aviation Industries,25.0,2023,6,13,Tuesday,,
